Where can I find the DS-160?	Visit: Consular Electronic Application Center website to access the DS-160.
If I my passport lists something other than "male" or "female" under the sex identifier field, or if it lists a sex that is different from my sex at birth, what should I list on my application?	When completing the ‘sex’ field of the DS-160 [or DS-260], please select your sex at birth: male or female. Generally, this will be the sex listed on your passport. However, if your passport lists your gender identity, does not list a sex, or lists ‘X’/’unspecified’ in a sex identifier field, you must select your sex at birth.

How can I save my application? Can I stop in the middle of the application and return to it later?	You can save your application or return to a partially completed application. When you begin a new DS-160, you will be issued a unique application identification (ID) number after selecting and answering a security question. Once you have your application ID number and have selected and answered a security question, you may exit the DS-160 application and return to it later. You must have your application ID to return to your application. To save your DS-160 to the Consular Electronic Application Center website, click the “Next” button at the bottom of each page you complete. You have 30 days to return to a partially completed application. To access your application after 30 days, you must save it to your computer hard drive or a disk, as explained in the FAQ below.

How do I save my DS-160 application to my computer hard drive or a disk?	Saving to a hard drive or disk will allow you to access your application after 30 days. To permanently save your application to your computer hard drive or a disk, select the “Save Application to File” button. Then, click the “Save” button on the File Download window. Identify a place on your computer to save the application, browse to that location, and click the “Save” button on the “Save As” window. The system will download your application to the specified location. Once the download is complete, you can click “Close” to return to the live application on our website. Note: Applications saved to the hard drive of a public or shared computer or memory device could likely be accessed by anyone else who uses the computer or device after you.

I apply for U.S. visas often. Can I reuse the DS-160?	Yes, you can use information from a previously submitted DS-160 to populate some fields on a new form. There are two ways that you can do this. First, if you plan to apply for a visa in the future, save your DS-160 to your hard drive or a disk using the instructions in the FAQ above. When you go to apply for your new visa you can then select “Option B-Upload a Previously Saved Application” on the Getting Started page. Alternately, if your previous visa application was submitted after November 1, 2010, you can select “Option C-Retrieve Application,” enter your previous visa application ID, and then hit “Create a New Application.” Your personal information will then populate the form. Be careful to check that all previously submitted information is current and accurate.

What if I lose my internet connection, the application “times out,” or I receive an error? Will my application be lost?	All information is automatically saved when each page is completed, so your application will not be lost. You will need to enter the application ID number, and answer other questions as prompted, to retrieve your application. Once your application has been retrieved, it will begin at the last page you completed. You will be able to edit previous pages, if needed.

Why did the edits I made from the review page "edit" link not save?	In order for data changes made from the review page links to save, you must use the buttons at the bottom of each page to navigate, instead of the browser's back/forward buttons or the buttons along the side of the screen.

I understand that I can upload a photo with my application. How do I get a digital photo that will successfully upload to my application?	Please refer to the Photograph Requirements for detailed guidance.

The confirmation page has an "X" in the box where the photo should be. What does that mean?	That means that the photo upload failed. Therefore, you should submit one printed photograph meeting our requirements, along with the online DS-160 confirmation page, to the U.S. Embassy or Consulate at which you plan to apply for your visa. Please contact the U.S. Embassy or Consulate where you are applying for specific instructions on how to do this. See the print photo format found in the Photograph Requirements for more information. If the confirmation page includes a photo image, then the photo upload function was successful and no separate print photograph is required.

The U.S. Embassy or Consulate where I went for my visa interview denied my application because my DS-160 contained errors or was incomplete. What does this mean and what do I need to do next?	DS-160 applications submitted before April 1, 2010 cannot be reopened, and therefore, you must complete and submit a new DS-160.

After I have corrected or completed my DS-160 application, do I need to schedule a new appointment or return to the U.S. Embassy or Consulate?	Contact the U.S. Embassy or Consulate where you applied for specific instructions.

Should I bring my entire application or just the confirmation page with me to the interview?	You are not required to bring your entire application. For your interview, you are required to bring your confirmation page with your application ID number on it so we can retrieve your DS-160. You must bring the confirmation page with you during all phases of the application process. Without the confirmation page, we may not be able to process your visa case.

I submitted my online DS-160 application, but lost my confirmation page. Can I print a new one?	Yes, you can reprint the confirmation page of an application that has already been submitted. In order to do so, go into the Consular Electronic Application Center website and select the Embassy or Consulate at which you are applying. Hit “Option C-Retrieve Application” on the Getting Started page and enter your application ID number. From there you will be able to view and print your confirmation page.

I am traveling with my family or as part of a group. Can I create a family or group application?	Yes. When you select “Email Confirmation” on your Confirmation Page, you will be directed to a “Thank You” page. On the “Thank You” page you will see an option to create a family or group application. When you select this option, certain information from your application, such as destination, will automatically be imported to and displayed on a new application. Please note that if you use this option you must create an individual application for each family member or for each individual within the group.

If I use the option on the "Thank You" page to create a family or group application, can I modify the data automatically populated by the system?	Yes. If one of the dependents has a different surname or nationality, for example, you can alter that data before submitting the application.

I am applying for a Treaty Trader/Treaty Investor, E Visa. Do I need to fill out the DS-160 and the DS-156E?	It depends. If you are a Treaty Investor (E-2) applicant, you need only complete the DS-160. If you are a Treaty Trader (E-1) or an Executive/Manager/Essential Employee (E-1 or E-2), you must complete the DS-160, and you or your employer must complete the paper DS-156E form.
